Id,Label,TotalCommits,TotalIssues,TotalPullRequests,PublicRepos
0,cfjedimaster,722,53,16,318
1,nan,0,0,0,0
2,criscokid,0,0,0,14
3,stefanfrede,56,6,34,16
4,souzaonofre,105,0,1,125
5,demian0311,0,1,0,35
6,jorgenskogas,0,1,0,42
7,cksachdev,2,4,17,145
8,bclingan,0,0,0,4
9,bph,35,96,10,50
10,jalbertbowden,0,0,0,297
11,trentpolack,25,0,1,32
12,tedserbinski,4,0,0,6
13,FlashJunior,0,0,0,1
14,loiane,362,0,13,350
15,barakplasma,265,12,27,152
16,esin,35,0,1,41
17,mrcaron,9,0,1,60
18,NotMyself,81,5,6,60
19,nhoizey,3563,63,1029,53
20,cellx,1,1,0,15
21,boycaught,786,0,0,59
22,leathersole,5,0,0,54
23,jubstuff,11,0,0,132
24,russplaysguitar,0,0,0,38
25,Neustradamus,0,267,0,43
26,xydudu,0,0,0,46
27,spidercam,0,0,0,1
28,TigersWay,45,12,2,30
29,mhenke,62,9,0,174
30,jovenbarola,37,2,0,27
31,jlsuarezs,0,0,0,516
32,vancaem,0,0,0,67
33,davidgturner,8,0,0,10
34,awayken,3,1,1,113
35,bbiehle,0,0,0,0
36,robertz,13,0,4,56
37,chronosafe,2,0,1,23
38,szantner,6,0,0,2
39,aminnagpure,0,0,14,113
40,asimkh,0,0,0,61
41,jonathanbossenger,228,152,32,188
42,coreb,0,0,0,0
43,hmert,67,11,2,35
44,webdevwilson,0,0,0,89
45,VAggrippino,158,16,2,68
46,vjandrei,0,0,0,33
47,victorfeight,1,0,1,35
48,folktrash,0,0,0,20
49,misterdai,0,0,0,22
50,tpryan,845,2,116,130
51,AlexandreXavier,0,0,0,116
52,dkschaefer,0,0,0,10
53,devalnor,10,3,4,37
54,bayousoft,0,0,0,53
55,sumitk,1,0,0,326
56,chiehwen,0,0,0,623
57,JudithBarnett,0,0,0,14
58,mhaidarhanif,1654,75,24,254
59,dylburger,2359,10000,71,118
60,batermj,377,0,2,2393
61,salgado,12,1,1,196
62,fingerskier,407,5,0,257
63,szahn,8,1,0,49
64,harrydeluxe,0,0,0,24
65,kapit4n,620,4,18,260
66,Vintharas,28,0,0,101
67,elroyjetson,0,0,0,14
68,cchacin,42,0,1,123
69,rwcorbett,0,1,0,19
70,hiddenkirby,0,2,0,5
71,diegoprates,0,0,0,23
72,ringo22,0,0,0,20
73,kevinelong,460,1,3,422
74,zmilan,7,0,0,1401
75,arthurlee,0,0,1,55
76,vlhorton,0,0,0,22
77,ItsMeAra,36,0,3,26
78,jgautier,0,0,0,38
79,gallypette,111,20,9,59
80,ellor1138,5,0,0,15
81,Greymalkin,4,0,0,4
82,justincarter,38,0,0,18
83,fenomas,89,2,0,71
84,felipemx,10,0,0,15
85,dnachman,208,0,14,72
86,angelxmoreno,261,34,49,211
87,gregmoser,0,0,0,38
88,bchesley,19,0,2,4
89,airen,4,0,0,63
90,andcam,0,0,0,0
91,imelendez72,1,0,0,5
92,solrevdev,46,14,6,35
93,johngag,0,0,0,29
94,marcot,0,0,0,10
95,jimmymorris,26,1,7,45
96,umaar,34,29,10,474
97,d1rtym0nk3y,0,0,0,34
98,technobuzz,0,0,0,14
99,mbunge,0,0,0,17
100,anselmh,8,1,1,27
101,jphustman,4,0,0,118
102,Val9,0,0,0,383
103,jeffersonsimaogoncalves,210,1,71,693
104,logicaroma,2,0,1,145
105,nkostic,0,1,0,8
106,zspitzer,1383,8,265,75
107,ktrajasekar,41,0,0,88
108,gdumitrescu,19,0,1,33
109,RyannosaurusRex,10,1,2,64
110,jgiuffrida,29,0,0,25
111,pedbad,15,0,0,18
112,cdransf,2259,9,10,32
113,nomadinjax,0,0,0,2
114,danomanion,0,0,0,50
115,mintuz,27,0,4,41
116,jalcine,0,0,0,128
117,adamdbradley,643,1,164,88
118,MariaVelkova,0,0,0,0
119,eperedo,119,0,46,63
120,Tarabass,167,0,18,108
121,keshwans,0,0,0,170
122,lalego,0,0,0,15
123,hgo,0,0,0,55
124,heinzwittenbrink,74,0,0,64
125,seancoyne,0,0,0,72
126,xchehub,6,0,0,19
127,guustnieuwenhuis,82,9,18,41
128,trietptm,60,0,0,198
