Id,Label,TotalCommits,TotalIssues,TotalPullRequests,PublicRepos
0,otaviolemos,155,0,0,35
1,norvig,83,0,0,4
2,berlotto,11,0,0,128
3,eugeniomiro,73,3,1,51
4,brasten,18,0,0,69
5,maykon,0,0,0,91
6,cassiosantos,13,0,0,27
7,victorrodrigues,1,0,0,25
8,macndesign,0,0,0,218
9,felipeminello,8,0,0,75
10,gcollazo,43,1,3,93
11,joerabelo,21,0,0,13
12,esin,33,0,1,41
13,flcs,210,44,2,211
14,vjnrv,12,0,0,33
15,pedropenna,0,0,0,32
16,andretads,1,0,0,10
17,claudiofreitas,151,2,1,49
18,alessandrogambin,0,0,0,1
19,fuinha,0,0,0,1186
20,unlight,130,2,0,279
21,habtamu,25,0,0,19
22,moisesrms,0,0,0,9
23,gabrielvoigt,2,0,0,21
24,farnetani,20,0,0,198
25,leandrocanabarro,0,0,0,141
26,androrim,0,0,0,19
27,bovino,0,0,0,30
28,falvojr,852,3,14,58
29,emersonmx,410,0,31,72
30,tobiasquinteiro,0,0,0,170
31,lglmoura,19,0,0,110
32,lorenasg1,78,12,0,73
33,MarceloMachadoxD,2,2,0,58
34,splhead,24,0,0,76
35,skvggor,217,11,32,156
36,mrcsxsiq,29,0,6,219
37,valdirmendesdev,37,0,2,85
38,marcelofabianov,372,1,0,69
39,renanoliveira0,13,1,5,18
40,justiandre,1,0,0,17
41,matheusflauzino,144,1,2,120
42,alexandremosil,0,0,0,2
43,vncastanheira,31,2,3,72
44,andervilo,10,0,0,210
45,jacksongomesbr,13,0,0,75
46,augustorcn,106,0,0,8
47,lucasmonstrox,707,1,10,17
48,custodiogs,30,0,0,11
49,dercilima,13,0,0,39
50,fabriciorsf,1,0,0,9
51,fabiosouzadev,815,12,2,11
52,StunerX,0,0,0,18
53,danilolutz,2,2,2,43
54,lpgpa,0,3,5,94
55,glaucia86,1137,7,18,473
56,torugok,64,1,1,26
57,rogeriogentil,6,0,0,20
58,movibe,0,0,8,634
59,jean-merelis,2,1,1,31
60,alexpessoajr,0,0,0,22
61,jonathasgabriel,7,0,0,19
62,maisnada,20,0,0,23
63,cesarkohl,226,6,30,49
64,yoedtos,232,0,0,19
65,brenopolanski,20,5,19,162
66,joleques,40,0,0,40
67,gontranbezerra,0,0,0,9
68,hugoworks,0,0,0,6
69,otaviocosta,2,0,0,13
70,gilvam,118,0,1,57
71,filipe1309,950,2,0,146
72,marquesds,44,0,1,48
73,marabesi,501,11,5,225
74,sylviot,5,1,2,31
75,mrabello23,97,0,12,23
76,mayronceccon,0,0,0,45
77,thiagomart,3,0,2,10
78,NandoKstroNet,45,0,0,381
79,pcbrsites,9,1,1,25
80,allerasouza,140,12,0,62
81,sergiokopplin,166,0,1,27
82,eduardofx,11,1,0,91
83,paulofmonteiro,0,0,0,9
84,johngrandson,3,0,1,36
85,igoreliasm,1,0,0,81
86,gabrielmedina,75,0,21,42
87,dsfb,74,2,0,540
88,jnognet,74,0,4,16
89,kauanmocelin,0,1,0,21
90,leandrodavimg,0,0,0,17
91,RenanJPaula,0,0,0,54
92,jonathanleahy,0,2,0,32
93,LeonardoZ,46,0,0,69
94,brunoweig,0,0,0,1
95,wagnercsfilho,0,0,0,58
96,IsaacCavalcante,0,0,0,21
97,geovani-brito,1,0,0,6
98,alexmart001,6,0,0,81
99,BSTK,17,0,0,10
100,nurycaroline,93,27,5,62
101,neilsonsp,0,0,0,9
102,pinheiroras,19,0,3,29
103,Bernardoow,4,2,7,83
104,allangrds,155,3,26,70
105,Diego-Brocanelli,30,0,0,235
106,sergiomoura,320,7,3,119
107,vhenckel,7,0,7,72
108,eoscode,0,0,1,10
109,alvarofederal,0,0,0,42
110,robsoninocencio,165,0,0,102
111,reunix,0,0,0,6
112,TL-Developer,39,0,0,103
113,alefcastelo,171,0,0,16
114,flavindias,3,0,0,68
115,g3luka,0,0,0,5
116,Magicianred,0,0,0,1722
117,diogojhony,0,0,0,10
118,alkxyly,22,0,0,140
119,junioorcelistre,1,0,0,6
120,tiagoncardoso,9,0,0,32
121,typevitor,0,0,2,14
122,dtgfranca,3,0,5,41
123,EmanoelLopes,1,0,0,47
124,Maykell,3,0,0,21
125,wesleyegberto,181,0,1,144
126,NicolasSuzuki,28,0,5,19
127,jorgemtoledo,0,0,0,80
128,steniowagner,434,0,118,38
129,MarcusPianco,1,0,0,61
130,IKVillanes,0,0,0,28
131,marcosvcorsi,87,0,5,192
132,marcelohmdias,0,0,0,47
133,pianeiro,26,22,11,4
134,denniscarrazeiro,6,0,6,7
135,marcosdiasdev,22,1,0,49
136,nikoloiosifovich,0,0,0,31
137,pliniopereira,7,0,0,12
138,mcastrobruno,10,0,0,36
139,Fabricio-Pereira,0,0,0,7
140,guiseek,981,3,64,327
141,danielsidev,0,0,0,47
142,lucasxciv,24,0,10,29
143,gustavonq,0,0,0,0
144,lholiveiraa,70,1,14,23
145,wellyfrs,81,0,37,2
146,silvapereiraeduardo,4,0,0,26
147,joseolinda,249,0,1,127
148,bcbrito,13,3,0,12
149,leojim06,32,0,13,70
150,gideaoms,118,0,2,94
151,ramonfsk,272,0,1,39
152,dev-thalizao,10,0,5,13
153,lucasvalentim,0,0,0,30
154,GabrielFeMello,51,1,0,24
155,tjbarbosa01,0,0,0,11
156,absnows,0,0,0,3
157,witerbino,14,0,0,8
158,reno,17,2,2,17
159,carlohcs,14,0,0,38
160,expectpin,0,0,0,2
161,marqueslu,251,3,1,80
162,Wellington01,2,0,0,41
163,tiagogribeiro,0,0,0,20
164,michelspirlandeli,0,0,0,157
165,fxcosta,3,0,0,66
166,diaraujo13,3,0,0,63
167,Jemesson,12,12,2,56
168,caioverissimo,0,0,0,12
169,schirrel,249,11,14,174
170,leandrosoares6,1,0,0,63
171,marcoaure,0,0,0,5
172,mailysantos,0,0,0,10
173,mxczpiscioneri,1,0,0,39
174,eber404,66,0,5,22
175,enobrega,2,1,0,20
176,pauloklaus,0,1,0,22
177,rjanuzi,163,7,0,16
178,ewerschdlr,0,0,0,9
179,scoiak,2,0,0,2
180,hguerra,159,0,6,262
181,gflopes,15,1,0,28
182,marcosacdias,1,0,0,2
183,rafaelassumpcao,0,0,0,21
184,karvox,0,2,1,54
185,fdolzanes1,76,0,0,52
186,brunosantanati,699,9,3,212
187,Ascenio,2,0,4,51
188,valmorsecco,0,0,0,20
189,GuiCavi,11,1,3,45
190,bpbastos,609,3,1,12
191,danielpcampagna,24,1,1,44
192,brendo10x,1,8,0,81
193,lellisls,0,0,0,38
194,josemauromani,9,0,0,78
195,jardelbordignon,149,3,7,88
196,nsrau,0,0,0,37
197,warteruzannan,65,0,0,23
198,mvessaro8,0,0,0,5
199,julianotorquato,0,0,0,25
200,jfollmann,17,1,0,44
201,viniciusaneves,1,0,0,1
202,mspavanelli,53,0,0,59
203,Andrauss,0,0,0,83
204,n1lux,0,0,0,35
205,joselio105,100,0,13,16
206,josemoraes,3,0,0,40
207,gbarroslimajr,9,0,1,42
208,guilhermeterenciani,154,0,0,43
209,aloysiorabello,0,0,0,16
210,sidneyfrancois,852,0,1,68
211,carlos-hp,0,0,0,10
212,francoatmega,13,0,0,53
213,bagnara,1,0,0,1
214,AbimaelAndrade,0,0,0,33
215,andrentfs,7,0,0,122
216,Tuily,28,0,1,27
217,ViniBoneto,0,0,0,3
218,arllain,28,0,0,97
219,dougecomp,12,1,0,62
220,delonborges,28,0,0,10
221,jp-cordeiro,12,0,0,89
222,ygorch,1,0,0,3
223,juulhao,3,0,1,50
224,gabrielew,27,0,6,46
225,eduardotrandafilov,14,0,0,142
226,moraes65,4,0,0,36
227,danilo-righetto,4,0,0,70
228,vargasgabriel,0,0,0,36
229,guilhermebpnr,0,0,0,14
230,lucaslui,15,0,0,20
231,anddersonrds,88,0,0,71
232,marlonblumer,14,12,0,1
233,edumaxsantos,3,0,0,74
234,josevictor1,3,0,0,44
235,stelioscorrea,0,0,0,16
236,terremoth,78,6,1,98
237,danieldkm,12,2,0,87
238,cmarchena,99,2,13,112
239,ricardogaldino,110,0,0,103
240,fboliveira,192,0,2,29
241,areisrosa,0,0,0,13
242,petersonsalme,42,0,1,17
243,felipexperto,0,0,0,16
244,filipemot,131,0,3,79
245,thiagocordeirooo,0,0,0,24
246,glprog,0,0,1,89
247,Vimai,5,0,0,50
248,guilhermeledes,20,0,1,12
249,samuel-tonini,0,0,0,11
250,roalmeida,0,0,0,15
251,hugohernani,55,0,0,64
252,ThiagosLima,3,2,0,39
253,cpestilli,3,0,0,25
254,claudiovanmartins,0,0,0,25
255,scodeler,0,0,0,16
256,redkiil,32,0,1,8
257,github-carlos,207,0,0,39
258,leanfj,256,0,3,125
259,vinigmoraes,11,0,0,22
260,thales-goncalves,4,0,0,9
261,danieldeandradelopes,230,2,13,130
262,MaxFullStack,19,0,0,3
263,samuelterra22,11,0,0,107
264,henriquesd,50,0,0,122
265,LeonardoCosta90,27,0,2,86
266,nbotelhodev,1,0,0,1
267,leonardorcamargo,0,0,0,51
268,diogodsa,2,0,0,15
269,eonascimento,0,0,0,20
270,jandersonTIC,0,0,0,8
271,rodrigorodes,2,0,0,30
272,jconzatti,146,0,0,18
273,IuryChagas,1,1,0,2
274,rparana,3,0,2,37
275,EwertonDutra,19,5,1,29
276,andersonluizpereira,142,0,5,151
277,LucasOliveiraS,0,0,0,37
278,berTrindade,35,0,3,58
279,flipmorsch,80,0,0,4
280,jonathansn,1,0,0,23
281,rzfzr,14,5,2,42
282,eriksonJAguiar,75,0,0,61
283,felipesalvadordev,80,0,0,16
284,mpgxc,211,0,11,27
285,otaaviostein,10,0,1,4
286,biagonz,1,0,0,14
287,ALLLANKLEBER1983,13,0,0,34
288,kauegatto,138,0,1,9
289,suelensantos,14,0,0,27
290,marcelogaldino,23,0,4,109
291,caiocolaiacovo,1,0,0,24
292,pratikmakune3,0,0,0,87
293,Nata07,125,0,6,94
294,macielti,217,16,41,21
295,felipebalotim,9,1,0,8
296,juniosilvac,1,0,0,23
297,tallesventura,0,0,0,25
298,tainguyenbp,40,1,0,234
299,jonyw4,8,0,0,26
300,ThalesRocha,0,0,0,34
