Id,Label,TotalCommits,TotalIssues,TotalPullRequests,PublicRepos
0,diogocezar,55,1,5,256
1,leouieda,614,33,108,106
2,felpfsf,1514,0,27,94
3,Rachad-Alabi-ADEKAMBI,319,0,13,108
4,guilhermebr,0,0,0,129
5,MrNullus,1517,22,179,172
6,ozboware,43,0,0,20
7,Omar95-A,606,1,15,11
8,salmoel,0,0,0,78
9,jamestiotio,103,8,15,2247
10,dhh,1061,14,34,3
11,AlyoshaS,3,0,0,61
12,lucasrocali,6,0,0,71
13,helviojunior,966,0,10,66
14,higher-order-programmer,70,0,1,2
15,giovannipds,230,1,0,165
16,leonardomso,277,0,2,55
17,ahsewm,18,0,0,4
18,fernanDOTdo,566,0,32,17
19,davglass,36,2,1,223
20,dvinciguerra,93,0,4,85
21,ythecombinator,166,0,0,131
22,algebraic-sofia,779,118,98,50
23,HigoRibeiro,0,0,0,55
24,davinyleticia,119,0,6,18
25,Quenedi,0,0,0,25
26,jhonatasmatos,76,2,5,62
27,toum120,0,0,0,0
28,brunopulis,270,32,63,136
29,sombriks,561,21,49,251
30,vitorgaletti,216,0,0,57
31,alexica32,0,0,0,1
32,vivekweb2013,0,0,0,21
33,leandrorangel94,273,0,0,54
34,Dan1e1rodrigues,479,1,3,45
35,matheuss,31,0,4,70
36,SoftwareEngineer0,24,2,0,152
37,leobalter,33,0,3,261
38,pictos,492,33,112,163
39,zakarialaoui10,1845,4,21,46
40,Marc5690,0,0,0,25
41,DanielBrito,73,2,0,45
42,manjunath5496,77,0,0,1564
43,sergiokopplin,159,0,1,29
44,yairm210,1156,6,149,30
45,TasnubaS,0,0,0,43
46,skvggor,231,11,33,156
47,MellonFive,339,0,0,76
48,mariana-cristina-santos,20,0,1,31
49,Rychillie,55,4,9,98
50,ellisonleao,172,10,9,87
51,steffano-da-cruz,313,1,0,8
52,Gutoneitzke,126,0,4,35
53,tadeumx1,0,0,0,61
54,caioagiani,0,11,0,49
55,NazarovAsadbek,190,0,0,33
56,CharlieGreenman,2267,47,201,264
57,opengineer,0,0,0,10
